doi,title,abstract,date,category,disease_label,keyword_used,abstract_cleaned,abstract_preprocessed
10.1101/2020.03.10.985150,A proposal of an alternative primer for the ARTIC Network's multiplex PCR to improve coverage of SARS-CoV-2 genome sequencing,"Since December 2019, the coronavirus disease 2019 (COVID-19) caused by a novel coronavirus SARS-CoV-2 has rapidly spread to almost every nation in the world. Soon after the pandemic was recognized by epidemiologists, a group of biologists comprising the ARTIC Network, has devised a multiplexed polymerase chain reaction (PCR) protocol and primer set for targeted whole-genome amplification of SARS-CoV-2. The ARTIC primer set amplifies 98 amplicons, which are separated only in two PCRs, across a nearly entire viral genome. The original primer set and protocol showed a fairly small amplification bias when clinical samples with relatively high viral loads were used. However, when samples viral load was low, several amplicons, especially amplicons 18 and 76, exhibited low coverage or complete dropout. We have determined that these dropouts were due to a dimer formation between the forward primer for amplicon 18, 18_LEFT, and the reverse primer for amplicon 76, 76_RIGHT. Replacement of 76_RIGHT with an alternatively designed primer was sufficient to produce a drastic improvement in coverage of both amplicons. Based on this result, we replaced 12 primers in total in the ARTIC primer set that were predicted to be involved in 14 primer interactions. The resulting primer set, version N1 (NIID-1), exhibits improved overall coverage compared to the ARTIC Networks original (V1) and modified (V3) primer set.",2020-03-10,microbiology,COVID-19,COVID-19,since december the coronavirus disease covid caused by a novel coronavirus sars cov has rapidly spread to almost every nation in the world soon after the pandemic was recognized by epidemiologists a group of biologists comprising the artic network has devised a multiplexed polymerase chain reaction pcr protocol and primer set for targeted whole genome amplification of sars cov the artic primer set amplifies amplicons which are separated only in two pcrs across a nearly entire viral genome the original primer set and protocol showed a fairly small amplification bias when clinical samples with relatively high viral loads were used however when samples viral load was low several amplicons especially amplicons and exhibited low coverage or complete dropout we have determined that these dropouts were due to a dimer formation between the forward primer for amplicon left and the reverse primer for amplicon right replacement of right with an alternatively designed primer was sufficient to produce a drastic improvement in coverage of both amplicons based on this result we replaced primers in total in the artic primer set that were predicted to be involved in primer interactions the resulting primer set version n niid exhibits improved overall coverage compared to the artic networks original v and modified v primer set,since december coronavirus disease covid cause novel coronavirus sar cov rapidly spread almost every nation world soon pandemic recognize epidemiologist group biologist comprise artic network devise multiplexed polymerase chain reaction pcr protocol primer set targeted whole genome amplification sar cov artic primer set amplifie amplicon separate two pcr across nearly entire viral genome original primer set protocol show fairly small amplification bias clinical sample relatively high viral load use however sample viral load low several amplicon especially amplicon exhibit low coverage complete dropout determined dropout due dimer formation forward primer amplicon leave reverse primer amplicon right replacement right alternatively design primer sufficient produce drastic improvement coverage amplicon base result replace primer total artic primer set predict involved primer interaction result primer set version niid exhibits improve overall coverage compare artic network original modify primer set
10.1101/2020.03.08.982637,Aerodynamic Characteristics and RNA Concentration of SARS-CoV-2 Aerosol in Wuhan Hospitals during COVID-19 Outbreak,"BackgroundThe ongoing outbreak of COVID-19 has spread rapidly and sparked global concern. While the transmission of SARS-CoV-2 through human respiratory droplets and contact with infected persons is clear, the aerosol transmission of SARS-CoV-2 has been little studied.

MethodsThirty-five aerosol samples of three different types (total suspended particle, size segregated and deposition aerosol) were collected in Patient Areas (PAA) and Medical Staff Areas (MSA) of Renmin Hospital of Wuhan University (Renmin) and Wuchang Fangcang Field Hospital (Fangcang), and Public Areas (PUA) in Wuhan, China during COVID-19 outbreak. A robust droplet digital polymerase chain reaction (ddPCR) method was employed to quantitate the viral SARS-CoV-2 RNA genome and determine aerosol RNA concentration.

ResultsThe ICU, CCU and general patient rooms inside Renmin, patient hall inside Fangcang had undetectable or low airborne SARS-CoV-2 concentration but deposition samples inside ICU and air sample in Fangcang patient toilet tested positive. The airborne SARS-CoV-2 in Fangcang MSA had bimodal distribution with higher concentration than those in Renmin during the outbreak but turned negative after patients number reduced and rigorous sanitization implemented. PUA had undetectable airborne SARS-CoV-2 concentration but obviously increased with accumulating crowd flow.

ConclusionsRoom ventilation, open space, proper use and disinfection of toilet can effectively limit aerosol transmission of SARS-CoV-2. Gathering of crowds with asymptomatic carriers is a potential source of airborne SARS-CoV-2. The virus aerosol deposition on protective apparel or floor surface and their subsequent resuspension is a potential transmission pathway and effective sanitization is critical in minimizing aerosol transmission of SARS-CoV-2.",2020-03-10,microbiology,COVID-19,COVID-19,backgroundthe ongoing outbreak of covid has spread rapidly and sparked global concern while the transmission of sars cov through human respiratory droplets and contact with infected persons is clear the aerosol transmission of sars cov has been little studied methodsthirty five aerosol samples of three different types total suspended particle size segregated and deposition aerosol were collected in patient areas paa and medical staff areas msa of renmin hospital of wuhan university renmin and wuchang fangcang field hospital fangcang and public areas pua in wuhan china during covid outbreak a robust droplet digital polymerase chain reaction ddpcr method was employed to quantitate the viral sars cov rna genome and determine aerosol rna concentration resultsthe icu ccu and general patient rooms inside renmin patient hall inside fangcang had undetectable or low airborne sars cov concentration but deposition samples inside icu and air sample in fangcang patient toilet tested positive the airborne sars cov in fangcang msa had bimodal distribution with higher concentration than those in renmin during the outbreak but turned negative after patients number reduced and rigorous sanitization implemented pua had undetectable airborne sars cov concentration but obviously increased with accumulating crowd flow conclusionsroom ventilation open space proper use and disinfection of toilet can effectively limit aerosol transmission of sars cov gathering of crowds with asymptomatic carriers is a potential source of airborne sars cov the virus aerosol deposition on protective apparel or floor surface and their subsequent resuspension is a potential transmission pathway and effective sanitization is critical in minimizing aerosol transmission of sars cov,backgroundthe ongoing outbreak covid spread rapidly spark global concern transmission sar cov human respiratory droplet contact infect person clear aerosol transmission sar cov little study methodsthirty five aerosol sample three different type total suspend particle size segregate deposition aerosol collect patient area paa medical staff area msa renmin hospital wuhan university renmin wuchang fangcang field hospital fangcang public area pua wuhan china covid outbreak robust droplet digital polymerase chain reaction ddpcr method employ quantitate viral sar cov rna genome determine aerosol rna concentration resultsthe icu ccu general patient room inside renmin patient hall inside fangcang undetectable low airborne sar cov concentration deposition sample inside icu air sample fangcang patient toilet test positive airborne sar cov fangcang msa bimodal distribution high concentration renmin outbreak turn negative patient number reduce rigorous sanitization implement pua undetectable airborne sar cov concentration obviously increase accumulate crowd flow conclusionsroom ventilation open space proper use disinfection toilet effectively limit aerosol transmission sar cov gathering crowd asymptomatic carrier potential source airborne sar cov virus aerosol deposition protective apparel floor surface subsequent resuspension potential transmission pathway effective sanitization critical minimizing aerosol transmission sar cov
10.1101/2020.03.10.985499,In silico Design of novel Multi-epitope recombinant Vaccine based on Coronavirus surface glycoprotein,"It is of special significance to find a safe and effective vaccine against coronavirus disease 2019 (COVID-19) that can induce T cell and B cell -mediated immune responses. There is currently no vaccine to prevent COVID-19. In this project, a novel multi-epitope vaccine for COVID-19 virus based on surface glycoprotein was designed through application of bioinformatics methods. At the first, seventeen potent linear B-cell and T-cell binding epitopes from surface glycoprotein were predicted in silico, then the epitopes were joined together via different linkers. The ability of the selected epitopes to induce interferon-gamma was evaluate using IFNepitope web server. One final vaccine was constructed which composed of 398 amino acids and attached to 50S ribosomal protein L7/L12 as adjuvant. Physicochemical properties, as well as antigenicity in the proposed vaccines, were checked for defining the vaccine stability and its ability to induce cell-mediated immune responses. Three-dimensional structure of the mentioned vaccine was subjected to the molecular docking studies with MHC-I and MHC-II molecules. The results proposed that the multi-epitope vaccine with 50S ribosomal protein L7/L12 was a stable construct with high aliphatic content and high antigenicity.",2020-03-10,immunology,COVID-19,COVID-19,it is of special significance to find a safe and effective vaccine against coronavirus disease covid that can induce t cell and b cell mediated immune responses there is currently no vaccine to prevent covid in this project a novel multi epitope vaccine for covid virus based on surface glycoprotein was designed through application of bioinformatics methods at the first seventeen potent linear b cell and t cell binding epitopes from surface glycoprotein were predicted in silico then the epitopes were joined together via different linkers the ability of the selected epitopes to induce interferon gamma was evaluate using ifnepitope web server one final vaccine was constructed which composed of amino acids and attached to s ribosomal protein l l as adjuvant physicochemical properties as well as antigenicity in the proposed vaccines were checked for defining the vaccine stability and its ability to induce cell mediated immune responses three dimensional structure of the mentioned vaccine was subjected to the molecular docking studies with mhc i and mhc ii molecules the results proposed that the multi epitope vaccine with s ribosomal protein l l was a stable construct with high aliphatic content and high antigenicity,special significance find safe effective vaccine coronavirus disease covid induce cell cell mediate immune response currently vaccine prevent covid project novel multi epitope vaccine covid virus base surface glycoprotein design application bioinformatic method first seventeen potent linear cell cell bind epitope surface glycoprotein predict silico epitope join together via different linker ability select epitope induce interferon gamma evaluate use ifnepitope web server one final vaccine construct compose amino acid attach ribosomal protein adjuvant physicochemical property well antigenicity propose vaccine check define vaccine stability ability induce cell mediate immune response three dimensional structure mention vaccine subject molecular docking study mhc mhc molecule result propose multi epitope vaccine ribosomal protein stable construct high aliphatic content high antigenicity
10.1101/2020.03.09.983247,Inhibition of SARS-CoV-2 infection (previously 2019-nCoV) by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion,"The recent outbreak of coronavirus disease (COVID-19) caused by SARS-CoV-2 infection in Wuhan, China has posed a serious threat to global public health. To develop specific anti-coronavirus therapeutics and prophylactics, the molecular mechanism that underlies viral infection must first be confirmed. Therefore, we herein used a SARS-CoV-2 spike (S) protein-mediated cell-cell fusion assay and found that SARS-CoV-2 showed plasma membrane fusion capacity superior to that of SARS-CoV. We solved the X-ray crystal structure of six-helical bundle (6-HB) core of the HR1 and HR2 domains in SARS-CoV-2 S protein S2 subunit, revealing that several mutated amino acid residues in the HR1 domain may be associated with enhanced interactions with HR2 domain. We previously developed a pan-coronavirus fusion inhibitor, EK1, which targeted HR1 domain and could inhibit infection by divergent human coronaviruses tested, including SARS-CoV and MERS-CoV. We then generated a series of lipopeptides and found that the EK1C4 was the most potent fusion inhibitor against SARS-CoV-2 S protein-mediated membrane fusion and pseudovirus infection with IC50s of 1.3 and 15.8 nM, about 241- and 149-fold more potent than that of EK1 peptide, respectively. EK1C4 was also highly effective against membrane fusion and infection of other human coronavirus pseudoviruses tested, including SARS-CoV and MERS-CoV, as well as SARSr-CoVs, potently inhibiting replication of 4 live human coronaviruses, including SARS-CoV-2. Intranasal application of EK1C4 before or after challenge with HCoV-OC43 protected mice from infection, suggesting that EK1C4 could be used for prevention and treatment of infection by currently circulating SARS-CoV-2 and emerging SARSr-CoVs.",2020-03-12,microbiology,COVID-19,COVID-19,the recent outbreak of coronavirus disease covid caused by sars cov infection in wuhan china has posed a serious threat to global public health to develop specific anti coronavirus therapeutics and prophylactics the molecular mechanism that underlies viral infection must first be confirmed therefore we herein used a sars cov spike s protein mediated cell cell fusion assay and found that sars cov showed plasma membrane fusion capacity superior to that of sars cov we solved the x ray crystal structure of six helical bundle hb core of the hr and hr domains in sars cov s protein s subunit revealing that several mutated amino acid residues in the hr domain may be associated with enhanced interactions with hr domain we previously developed a pan coronavirus fusion inhibitor ek which targeted hr domain and could inhibit infection by divergent human coronaviruses tested including sars cov and mers cov we then generated a series of lipopeptides and found that the ek c was the most potent fusion inhibitor against sars cov s protein mediated membrane fusion and pseudovirus infection with ic s of and nm about and fold more potent than that of ek peptide respectively ek c was also highly effective against membrane fusion and infection of other human coronavirus pseudoviruses tested including sars cov and mers cov as well as sarsr covs potently inhibiting replication of live human coronaviruses including sars cov intranasal application of ek c before or after challenge with hcov oc protected mice from infection suggesting that ek c could be used for prevention and treatment of infection by currently circulating sars cov and emerging sarsr covs,recent outbreak coronavirus disease covid cause sar cov infection wuhan china pose serious threat global public health develop specific anti coronavirus therapeutic prophylactic molecular mechanism underlie viral infection must first confirm therefore herein use sar cov spike protein mediate cell cell fusion assay find sar cov show plasma membrane fusion capacity superior sar cov solve ray crystal structure six helical bundle core domain sar cov protein subunit reveal several mutate amino acid residue domain may associate enhanced interaction domain previously develop pan coronavirus fusion inhibitor target domain could inhibit infection divergent human coronaviruse test include sar cov mer cov generate series lipopeptide find potent fusion inhibitor sar cov protein mediate membrane fusion pseudovirus infection fold potent peptide respectively also highly effective membrane fusion infection human coronavirus pseudoviruse test include sar cov mer cov well sarsr covs potently inhibit replication live human coronaviruse include sar cov intranasal application challenge hcov protect mice infection suggesting could use prevention treatment infection currently circulate sar cov emerge sarsr covs
10.1101/2020.03.09.983064,Development of Reverse Transcription Loop-mediated Isothermal Amplification (RT-LAMP) Assays Targeting SARS-CoV-2,"Epidemics of Coronavirus Disease 2019 (COVID-19) now have more than 100,000 confirmed cases worldwide. Diagnosis of COVID-19 is currently performed by RT-qPCR methods, but the capacity of RT-qPCR methods is limited by its requirement of high-level facilities and instruments. Here, we developed and evaluated RT-LAMP assays to detect genomic RNA of SARS-CoV-2, the causative virus of COVID-19. RT-LAMP assays in this study can detect as low as 100 copies of SARS-CoV-2 RNA. Cross-reactivity of RT-LAMP assays to other human Coronaviruses was not observed. We also adapted a colorimetric detection method for our RT-LAMP assay so that the tests potentially performed in higher throughput.",2020-03-12,microbiology,COVID-19,COVID-19,epidemics of coronavirus disease covid now have more than confirmed cases worldwide diagnosis of covid is currently performed by rt qpcr methods but the capacity of rt qpcr methods is limited by its requirement of high level facilities and instruments here we developed and evaluated rt lamp assays to detect genomic rna of sars cov the causative virus of covid rt lamp assays in this study can detect as low as copies of sars cov rna cross reactivity of rt lamp assays to other human coronaviruses was not observed we also adapted a colorimetric detection method for our rt lamp assay so that the tests potentially performed in higher throughput,epidemics coronavirus disease covid confirm case worldwide diagnosis covid currently perform qpcr method capacity qpcr method limit requirement high level facility instrument develop evaluate lamp assay detect genomic rna sars cov causative virus covid lamp assay study detect low copy sar cov rna cross reactivity lamp assays human coronaviruse observe also adapt colorimetric detection method lamp assay test potentially perform high throughput
10.1101/2020.03.10.986398,The SARS-CoV-2 exerts a distinctive strategy for interacting with the ACE2 human receptor,"The COVID-19 disease has plagued over 110 countries and has resulted in over 4,000 deaths within 10 weeks. We compare the interaction between the human ACE2 receptor and the SARS-CoV-2 spike protein with that of other pathogenic coronaviruses using molecular dynamics simulations. SARS-CoV, SARS-CoV-2, and HCoV-NL63 recognize ACE2 as the natural receptor but present a distinct binding interface to ACE2 and a different network of residue-residue contacts. SARS-CoV and SARS-CoV-2 have comparable binding affinities achieved by balancing energetics and dynamics. The SARS-CoV-2-ACE2 complex contains a higher number of contacts, a larger interface area, and decreased interface residue fluctuations relative to SARS-CoV. These findings expose an exceptional evolutionary exploration exerted by coronaviruses toward host recognition. We postulate that the versatility of cell receptor binding strategies has immediate implications on therapeutic strategies.

One Sentence SummaryMolecular dynamics simulations reveal a temporal dimension of coronaviruses interactions with the host receptor.",2020-03-12,molecular biology,COVID-19,COVID-19,the covid disease has plagued over countries and has resulted in over deaths within weeks we compare the interaction between the human ace receptor and the sars cov spike protein with that of other pathogenic coronaviruses using molecular dynamics simulations sars cov sars cov and hcov nl recognize ace as the natural receptor but present a distinct binding interface to ace and a different network of residue residue contacts sars cov and sars cov have comparable binding affinities achieved by balancing energetics and dynamics the sars cov ace complex contains a higher number of contacts a larger interface area and decreased interface residue fluctuations relative to sars cov these findings expose an exceptional evolutionary exploration exerted by coronaviruses toward host recognition we postulate that the versatility of cell receptor binding strategies has immediate implications on therapeutic strategies one sentence summarymolecular dynamics simulations reveal a temporal dimension of coronaviruses interactions with the host receptor,covid disease plague country result death within week compare interaction human ace receptor sar cov spike protein pathogenic coronaviruse use molecular dynamic simulation sar cov sar cov hcov recognize ace natural receptor present distinct bind interface ace different network residue residue contact sar cov sar cov comparable bind affinity achieve balance energetic dynamic sar cov ace complex contain high number contact large interface area decrease interface residue fluctuation relative sar cov finding expose exceptional evolutionary exploration exert coronaviruse toward host recognition postulate versatility cell receptor bind strategy immediate implication therapeutic strategy one sentence summarymolecular dynamic simulation reveal temporal dimension coronaviruse interaction host receptor
10.1101/2020.03.11.987958,A human monoclonal 1 antibody blocking SARS-CoV-2 infection,"The emergence of the novel human coronavirus SARS-CoV-2 in Wuhan, China has caused a worldwide epidemic of respiratory disease (COVID-19). Vaccines and targeted therapeutics for treatment of this disease are currently lacking. Here we report a human monoclonal antibody that neutralizes SARS-CoV-2 (and SARS-CoV). This cross-neutralizing antibody targets a communal epitope on these viruses and offers potential for prevention and treatment of COVID-19.",2020-03-12,microbiology,COVID-19,COVID-19,the emergence of the novel human coronavirus sars cov in wuhan china has caused a worldwide epidemic of respiratory disease covid vaccines and targeted therapeutics for treatment of this disease are currently lacking here we report a human monoclonal antibody that neutralizes sars cov and sars cov this cross neutralizing antibody targets a communal epitope on these viruses and offers potential for prevention and treatment of covid,emergence novel human coronavirus sar cov wuhan china cause worldwide epidemic respiratory disease covid vaccine target therapeutic treatment disease currently lack report human monoclonal antibody neutralize sar cov sars cov cross neutralize antibody target communal epitope virus offer potential prevention treatment covid
10.1101/2020.03.11.987016,The inhaled corticosteroid ciclesonide blocks coronavirus RNA replication by targeting viral NSP15,"Steroid compounds, which are expected to have dual functions in blocking host inflammation and MERS-CoV replication, were screened from a chemical library. Within this library, ciclesonide, an inhaled corticosteroid, suppressed human coronavirus replication in cultured cells, but did not suppress replication of respiratory syncytial virus or influenza virus. The effective concentration of ciclesonide to block SARS-CoV-2 (the cause of COVID-19) replication (EC90) was 6.3 M. After the eleventh consecutive MERS-CoV passage in the presence of ciclesonide, a resistant mutation was generated, which resulted in an amino acid substitution (A25V) in nonstructural protein (NSP) 15, as identified using reverse genetics. A recombinant virus with the mutation was also resistant to ciclesonide suppression of viral replication. These observations suggest that the effect of ciclesonide was specific to coronavirus, suggesting this is a candidate drug for treatment of patients suffering MERS or COVID-19.",2020-03-12,microbiology,COVID-19,COVID-19,steroid compounds which are expected to have dual functions in blocking host inflammation and mers cov replication were screened from a chemical library within this library ciclesonide an inhaled corticosteroid suppressed human coronavirus replication in cultured cells but did not suppress replication of respiratory syncytial virus or influenza virus the effective concentration of ciclesonide to block sars cov the cause of covid replication ec was m after the eleventh consecutive mers cov passage in the presence of ciclesonide a resistant mutation was generated which resulted in an amino acid substitution a v in nonstructural protein nsp as identified using reverse genetics a recombinant virus with the mutation was also resistant to ciclesonide suppression of viral replication these observations suggest that the effect of ciclesonide was specific to coronavirus suggesting this is a candidate drug for treatment of patients suffering mers or covid,steroid compound expect dual function block host inflammation mer cov replication screen chemical library within library ciclesonide inhale corticosteroid suppress human coronavirus replication cultured cell suppress replication respiratory syncytial virus influenza virus effective concentration ciclesonide block sar cov cause covid replication eleventh consecutive mer cov passage presence ciclesonide resistant mutation generate result amino acid substitution nonstructural protein nsp identify use reverse genetic recombinant virus mutation also resistant ciclesonide suppression viral replication observation suggest effect ciclesonide specific coronavirus suggest candidate drug treatment patient suffer mer covid
10.1101/2020.03.11.986836,A data-driven drug repositioning framework discovered a potential therapeutic agent targeting COVID-19,"The global spread of SARS-CoV-2 requires an urgent need to find effective therapeutics for the treatment of COVID-19. We developed a data-driven drug repositioning framework, which applies both machine learning and statistical analysis approaches to systematically integrate and mine large-scale knowledge graph, literature and transcriptome data to discover the potential drug candidates against SARS-CoV-2. The retrospective study using the past SARS-CoV and MERS-CoV data demonstrated that our machine learning based method can successfully predict effective drug candidates against a specific coronavirus. Our in silico screening followed by wet-lab validation indicated that a poly-ADP-ribose polymerase 1 (PARP1) inhibitor, CVL218, currently in Phase I clinical trial, may be repurposed to treat COVID-19. Our in vitro assays revealed that CVL218 can exhibit effective inhibitory activity against SARS-CoV-2 replication without obvious cytopathic effect. In addition, we showed that CVL218 is able to suppress the CpG-induced IL-6 production in peripheral blood mononuclear cells, suggesting that it may also have anti-inflammatory effect that is highly relevant to the prevention immunopathology induced by SARS-CoV-2 infection. Further pharmacokinetic and toxicokinetic evaluation in rats and monkeys showed a high concentration of CVL218 in lung and observed no apparent signs of toxicity, indicating the appealing potential of this drug for the treatment of the pneumonia caused by SARS-CoV-2 infection. Moreover, molecular docking simulation suggested that CVL218 may bind to the N-terminal domain of nucleocapsid (N) protein of SARS-CoV-2, providing a possible model to explain its antiviral action. We also proposed several possible mechanisms to explain the antiviral activities of PARP1 inhibitors against SARS-CoV-2, based on the data present in this study and previous evidences reported in the literature. In summary, the PARP1 inhibitor CVL218 discovered by our data-driven drug repositioning framework can serve as a potential therapeutic agent for the treatment of COVID-19.",2020-03-12,systems biology,COVID-19,COVID-19,the global spread of sars cov requires an urgent need to find effective therapeutics for the treatment of covid we developed a data driven drug repositioning framework which applies both machine learning and statistical analysis approaches to systematically integrate and mine large scale knowledge graph literature and transcriptome data to discover the potential drug candidates against sars cov the retrospective study using the past sars cov and mers cov data demonstrated that our machine learning based method can successfully predict effective drug candidates against a specific coronavirus our in silico screening followed by wet lab validation indicated that a poly adp ribose polymerase parp inhibitor cvl currently in phase i clinical trial may be repurposed to treat covid our in vitro assays revealed that cvl can exhibit effective inhibitory activity against sars cov replication without obvious cytopathic effect in addition we showed that cvl is able to suppress the cpg induced il production in peripheral blood mononuclear cells suggesting that it may also have anti inflammatory effect that is highly relevant to the prevention immunopathology induced by sars cov infection further pharmacokinetic and toxicokinetic evaluation in rats and monkeys showed a high concentration of cvl in lung and observed no apparent signs of toxicity indicating the appealing potential of this drug for the treatment of the pneumonia caused by sars cov infection moreover molecular docking simulation suggested that cvl may bind to the n terminal domain of nucleocapsid n protein of sars cov providing a possible model to explain its antiviral action we also proposed several possible mechanisms to explain the antiviral activities of parp inhibitors against sars cov based on the data present in this study and previous evidences reported in the literature in summary the parp inhibitor cvl discovered by our data driven drug repositioning framework can serve as a potential therapeutic agent for the treatment of covid,global spread sar cov require urgent need find effective therapeutic treatment covid develop datum drive drug reposition framework apply machine learn statistical analysis approach systematically integrate mine large scale knowledge graph literature transcriptome data discover potential drug candidate sar cov retrospective study use past sar cov mer cov datum demonstrate machine learn base method successfully predict effective drug candidate specific coronavirus silico screening follow wet lab validation indicate poly adp ribose polymerase parp inhibitor cvl currently phase clinical trial may repurpose treat covid vitro assay reveal cvl exhibit effective inhibitory activity sar cov replication without obvious cytopathic effect addition show cvl able suppress cpg induce production peripheral blood mononuclear cell suggest may also anti inflammatory effect highly relevant prevention immunopathology induce sar cov infection pharmacokinetic toxicokinetic evaluation rat monkey show high concentration cvl lung observe apparent sign toxicity indicate appeal potential drug treatment pneumonia cause sar cov infection moreover molecular docking simulation suggest cvl may bind terminal domain nucleocapsid protein sar cov provide possible model explain antiviral action also propose several possible mechanism explain antiviral activity parp inhibitor sar cov base datum present study previous evidence report literature summary parp inhibitor cvl discover datum drive drug reposition framework serve potential therapeutic agent treatment covid
10.1101/2020.03.10.986190,"Rigidity, normal modes and flexible motion of a SARS-CoV-2 (COVID-19) protease structure.","The rigidity and flexibility of two recently reported crystal structures (PDB entries 6Y2E and 6LU7) of a protease from the SARS-CoV-2 virus, the infectious agent of the COVID-19 respiratory disease, has been investigated using pebble-game rigidity analysis, elastic network model normal mode analysis, and all-atom geometric simulations. This computational investigation of the viral protease follows protocols that have been effective in studying other homodimeric enzymes. The protease is predicted to display flexible motions in vivo which directly affect the geometry of a known inhibitor binding site and which open new potential binding sites elsewhere in the structure. A database of generated PDB files representing natural flexible variations on the crystal structures has been produced and made available for download from an institutional data archive. This information may inform structure-based drug design and fragment screening efforts aimed at identifying specific antiviral therapies for the treatment of COVID-19.",2020-03-12,molecular biology,COVID-19,COVID-19,the rigidity and flexibility of two recently reported crystal structures pdb entries y e and lu of a protease from the sars cov virus the infectious agent of the covid respiratory disease has been investigated using pebble game rigidity analysis elastic network model normal mode analysis and all atom geometric simulations this computational investigation of the viral protease follows protocols that have been effective in studying other homodimeric enzymes the protease is predicted to display flexible motions in vivo which directly affect the geometry of a known inhibitor binding site and which open new potential binding sites elsewhere in the structure a database of generated pdb files representing natural flexible variations on the crystal structures has been produced and made available for download from an institutional data archive this information may inform structure based drug design and fragment screening efforts aimed at identifying specific antiviral therapies for the treatment of covid,rigidity flexibility two recently report crystal structure pdb entry protease sar cov virus infectious agent covid respiratory disease investigate use pebble game rigidity analysis elastic network model normal mode analysis atom geometric simulation computational investigation viral protease follow protocol effective study homodimeric enzyme protease predict display flexible motion vivo directly affect geometry know inhibitor bind site open new potential bind site elsewhere structure database generate pdb file represent natural flexible variation crystal structure produce make available download institutional datum archive information may inform structure base drug design fragment screening effort aim identify specific antiviral therapy treatment covid
10.1101/2020.03.11.983056,"Novel and potent inhibitors targeting DHODH, a rate-limiting enzyme in de novo pyrimidine biosynthesis, are broad-spectrum antiviral against RNA viruses including newly emerged coronavirus SARS-CoV-2","Emerging and re-emerging RNA viruses occasionally cause epidemics and pandemics worldwide, such as the on-going outbreak of coronavirus SARS-CoV-2. Existing direct-acting antiviral (DAA) drugs cannot be applied immediately to new viruses because of virus-specificity, and the development of new DAA drugs from the beginning is not timely for outbreaks. Thus, host-targeting antiviral (HTA) drugs have many advantages to fight against a broad spectrum of viruses, by blocking the viral replication and overcoming the potential viral mutagenesis simultaneously. Herein, we identified two potent inhibitors of DHODH, S312 and S416, with favorable drug-like and pharmacokinetic profiles, which all showed broad-spectrum antiviral effects against various RNA viruses, including influenza A virus (H1N1, H3N2, H9N2), Zika virus, Ebola virus, and particularly against the recent novel coronavirus SARS-CoV-2. Our results are the first to validate that DHODH is an attractive host target through high antiviral efficacy in vivo and low virus replication in DHODH knocking-out cells. We also proposed the drug combination of DAA and HTA was a promising strategy for anti-virus treatment and proved that S312 showed more advantageous than Oseltamivir to treat advanced influenza diseases in severely infected animals. Notably, S416 is reported to be the most potent inhibitor with an EC50 of 17nM and SI value >5882 in SARS-CoV-2-infected cells so far. This work demonstrates that both our self-designed candidates and old drugs (Leflunomide/Teriflunomide) with dual actions of antiviral and immuno-repression may have clinical potentials not only to influenza but also to COVID-19 circulating worldwide, no matter such viruses mutate or not.",2020-03-12,microbiology,COVID-19,COVID-19,emerging and re emerging rna viruses occasionally cause epidemics and pandemics worldwide such as the on going outbreak of coronavirus sars cov existing direct acting antiviral daa drugs cannot be applied immediately to new viruses because of virus specificity and the development of new daa drugs from the beginning is not timely for outbreaks thus host targeting antiviral hta drugs have many advantages to fight against a broad spectrum of viruses by blocking the viral replication and overcoming the potential viral mutagenesis simultaneously herein we identified two potent inhibitors of dhodh s and s with favorable drug like and pharmacokinetic profiles which all showed broad spectrum antiviral effects against various rna viruses including influenza a virus h n h n h n zika virus ebola virus and particularly against the recent novel coronavirus sars cov our results are the first to validate that dhodh is an attractive host target through high antiviral efficacy in vivo and low virus replication in dhodh knocking out cells we also proposed the drug combination of daa and hta was a promising strategy for anti virus treatment and proved that s showed more advantageous than oseltamivir to treat advanced influenza diseases in severely infected animals notably s is reported to be the most potent inhibitor with an ec of nm and si value in sars cov infected cells so far this work demonstrates that both our self designed candidates and old drugs leflunomide teriflunomide with dual actions of antiviral and immuno repression may have clinical potentials not only to influenza but also to covid circulating worldwide no matter such viruses mutate or not,emerge emerge rna virus occasionally cause epidemic pandemic worldwide go outbreak coronavirus sar cov exist direct act antiviral daa drug apply immediately new virus virus specificity development new daa drug begin timely outbreak thus host target antiviral hta drug many advantage fight broad spectrum virus block viral replication overcome potential viral mutagenesis simultaneously herein identify two potent inhibitor dhodh favorable drug like pharmacokinetic profile show broad spectrum antiviral effect various rna virus include influenza virus zika virus ebola virus particularly recent novel coronavirus sar cov result first validate dhodh attractive host target high antiviral efficacy vivo low virus replication dhodh knock cell also propose drug combination daa hta promise strategy anti virus treatment prove show advantageous oseltamivir treat advanced influenza disease severely infect animal notably report potent inhibitor value sars cov infect cell far work demonstrate self design candidate old drug leflunomide teriflunomide dual action antiviral immuno repression may clinical potential influenza also covid circulate worldwide matter virus mutate
